App,Minutes
Amazon,4.0
Benutzerauthentifizierung,3.3333333333333335
Bet365,118.33333333333333
Bfv,95.83333333333333
Chatgpt,81.66666666666667
Com.yourcompany.ppclient,5.666666666666667
Db navigator,20.833333333333332
Discord,0.5
Duolingo,28.0
Einstellungen,7.5
Gmail,9.0
GoodNotes,72.96666666666667
Google maps,55.0
Instagram,45.93333333333333
Kalender,71.66666666666667
Kurzbefehle,4.333333333333333
Nachrichten,8.166666666666666
Notizen,8.166666666666666
Outlook,3.8333333333333335
Rechner,1.8333333333333333
Rechner⁺,10.0
Safari,16.8
Screentimeunlock,0.16666666666666666
Shortcuts,0.8333333333333334
Snapchat,22.9
Spotify,106.66666666666667
Strava: laufen & radfahren,6.666666666666667
Telefon,3.0
Toralarm,58.666666666666664
Uhr,2.0
Wallet,0.6666666666666666
Wetter,1.1666666666666667
Wo ist?,7.0
Youtube,94.56666666666666
‎whatsapp,91.83333333333333
